Image,Name,Ticker,Price,Price Change 1h,Price Change 24h,Price Change 7d,24h Volume,Market Cap
https://assets.coingecko.com/coins/images/1/standard/bitcoin.png?1696501400,Bitcoin BTC,BTC,"$84,540.86",0.3%,1.0%,7.7%,"$23,210,547,359","$1,677,134,202,295"
https://assets.coingecko.com/coins/images/279/standard/ethereum.png?1696501628,Ethereum ETH,ETH,"$1,949.92",0.8%,3.0%,1.4%,"$11,737,570,968","$233,897,492,758"
https://assets.coingecko.com/coins/images/325/standard/Tether.png?1696501661,Tether USDT,USDT,$0.9998,0.0%,0.0%,0.0%,"$24,086,767,536","$143,434,953,663"
https://assets.coingecko.com/coins/images/44/standard/xrp-symbol-white-128.png?1696501442,XRP XRP,XRP,$2.38,0.6%,2.2%,15.2%,"$2,865,838,782","$137,486,579,148"
https://assets.coingecko.com/coins/images/825/standard/bnb-icon2_2x.png?1696501970,BNB BNB,BNB,$629.08,0.1%,4.3%,17.3%,"$1,742,129,779","$91,936,120,244"
https://assets.coingecko.com/coins/images/4128/standard/solana.png?1718769756,Solana SOL,SOL,$130.14,1.3%,1.2%,10.5%,"$2,919,262,748","$65,748,051,780"
https://assets.coingecko.com/coins/images/6319/standard/usdc.png?1696506694,USDC USDC,USDC,$0.9999,0.0%,0.0%,0.0%,"$5,585,546,860","$58,790,509,416"
https://assets.coingecko.com/coins/images/975/standard/cardano.png?1696502090,Cardano ADA,ADA,$0.7292,0.7%,3.2%,7.6%,"$788,649,610","$26,125,823,211"
https://assets.coingecko.com/coins/images/5/standard/dogecoin.png?1696501409,Dogecoin DOGE,DOGE,$0.176,0.8%,3.0%,11.1%,"$1,030,311,475","$25,991,918,416"
https://assets.coingecko.com/coins/images/1094/standard/tron-logo.png?1696502193,TRON TRX,TRX,$0.2199,0.2%,2.5%,5.3%,"$760,737,207","$20,935,012,452"
https://assets.coingecko.com/coins/images/13442/standard/steth_logo.png?1696513206,Lido Staked Ether STETH,STETH,"$1,946.22",0.9%,2.9%,1.5%,"$26,548,073","$18,030,323,648"
https://assets.coingecko.com/coins/images/7598/standard/wrapped_bitcoin_wbtc.png?1696507857,Wrapped Bitcoin WBTC,WBTC,"$84,274.09",0.3%,0.8%,7.7%,"$291,796,656","$10,876,860,323"
https://assets.coingecko.com/coins/images/54342/standard/pi_network.jpg?1739347576,Pi Network PI,PI,$1.35,1.2%,3.7%,1.9%,"$309,885,086","$9,254,740,104"
