Image,Name,Ticker,Price,Price Change 1h,Price Change 24h,Price Change 7d,24h Volume,Market Cap
https://assets.coingecko.com/coins/images/1/standard/bitcoin.png?1696501400,Bitcoin BTC,BTC,"$84,628.43",0.2%,0.8%,4.8%,"$18,698,024,212","$1,680,422,799,547"
https://assets.coingecko.com/coins/images/279/standard/ethereum.png?1696501628,Ethereum ETH,ETH,"$1,581.17",0.0%,0.2%,2.5%,"$10,145,584,792","$190,899,708,856"
https://assets.coingecko.com/coins/images/325/standard/Tether.png?1696501661,Tether USDT,USDT,$1,0.0%,0.0%,0.1%,"$23,203,379,729","$144,794,420,791"
https://assets.coingecko.com/coins/images/44/standard/xrp-symbol-white-128.png?1696501442,XRP XRP,XRP,$2.05,0.1%,1.0%,2.7%,"$2,059,503,252","$119,681,889,606"
https://assets.coingecko.com/coins/images/825/standard/bnb-icon2_2x.png?1696501970,BNB BNB,BNB,$589.27,0.1%,1.3%,1.7%,"$519,028,761","$85,962,109,740"
https://assets.coingecko.com/coins/images/4128/standard/solana.png?1718769756,Solana SOL,SOL,$134.02,0.6%,3.1%,16.1%,"$3,940,327,021","$69,204,033,703"
https://assets.coingecko.com/coins/images/6319/standard/usdc.png?1696506694,USDC USDC,USDC,$1,0.0%,0.0%,0.0%,"$8,899,252,993","$60,864,962,984"
https://assets.coingecko.com/coins/images/1094/standard/tron-logo.png?1696502193,TRON TRX,TRX,$0.2462,0.3%,0.6%,4.3%,"$661,429,879","$23,377,522,264"
https://assets.coingecko.com/coins/images/5/standard/dogecoin.png?1696501409,Dogecoin DOGE,DOGE,$0.1545,0.3%,0.6%,1.3%,"$574,184,791","$23,024,020,669"
https://assets.coingecko.com/coins/images/975/standard/cardano.png?1696502090,Cardano ADA,ADA,$0.6115,0.0%,0.1%,1.8%,"$441,257,256","$22,025,786,699"
https://assets.coingecko.com/coins/images/13442/standard/steth_logo.png?1696513206,Lido Staked Ether STETH,STETH,"$1,578.62",0.1%,0.2%,2.4%,"$20,820,551","$14,674,716,986"
